"符号","文件路径","行号","类别","快照日期"
"hd_dc_ord_correspondence_archive_title","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","12","中文键","2026-09-13"
"hd_dc_ord.0009","events/hd_dc_ordinary_events.txt","12","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0009.a","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","4","中文键","2026-09-13"
"hd_dc_ord.0009.a.tt","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","5","中文键","2026-09-13"
"hd_dc_ord.0009.b","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","6","中文键","2026-09-13"
"hd_dc_ord.0009.b.tt","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_ord.0009.c","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_ord.0009.c.tt","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","9","中文键","2026-09-13"
"hd_dc_ord.0009.desc","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","3","中文键","2026-09-13"
"hd_dc_ord.0009.t","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","2","中文键","2026-09-13"
"hd_dc_ord.0013","events/hd_dc_ordinary_events.txt","163","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0013.a","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","29","中文键","2026-09-13"
"hd_dc_ord.0013.a.tt","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","30","中文键","2026-09-13"
"hd_dc_ord.0013.b","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","31","中文键","2026-09-13"
"hd_dc_ord.0013.b.tt","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","32","中文键","2026-09-13"
"hd_dc_ord.0013.c","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","33","中文键","2026-09-13"
"hd_dc_ord.0013.c.tt","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","34","中文键","2026-09-13"
"hd_dc_ord.0013.desc","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","28","中文键","2026-09-13"
"hd_dc_ord.0013.t","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","27","中文键","2026-09-13"
"hd_dc_ord.0019","events/hd_dc_ordinary_events.txt","64","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0019.a","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","23","中文键","2026-09-13"
"hd_dc_ord.0019.a.tt","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","24","中文键","2026-09-13"
"hd_dc_ord.0019.b","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","25","中文键","2026-09-13"
"hd_dc_ord.0019.b.tt","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","26","中文键","2026-09-13"
"hd_dc_ord.0019.c","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","2","中文键","2026-09-13"
"hd_dc_ord.0019.c.tt","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","3","中文键","2026-09-13"
"hd_dc_ord.0019.desc","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","22","中文键","2026-09-13"
"hd_dc_ord.0019.t","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","21","中文键","2026-09-13"
"hd_dc_ord.0113","events/hd_dc_ordinary_events.txt","201","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0113.a","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","38","中文键","2026-09-13"
"hd_dc_ord.0113.a.tt","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","39","中文键","2026-09-13"
"hd_dc_ord.0113.b","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","40","中文键","2026-09-13"
"hd_dc_ord.0113.desc","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","37","中文键","2026-09-13"
"hd_dc_ord.0113.t","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","36","中文键","2026-09-13"
"hd_dc_ord.0119","events/hd_dc_ordinary_events.txt","97","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0119.a","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","6","中文键","2026-09-13"
"hd_dc_ord.0119.b","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_ord.0119.desc","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","5","中文键","2026-09-13"
"hd_dc_ord.0119.t","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","4","中文键","2026-09-13"
"hd_dc_ord.0209","events/hd_dc_ordinary_events.txt","45","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0209.a","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","20","中文键","2026-09-13"
"hd_dc_ord.0209.cancelled","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","19","中文键","2026-09-13"
"hd_dc_ord.0209.exchanged","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","14","中文键","2026-09-13"
"hd_dc_ord.0209.failed","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","18","中文键","2026-09-13"
"hd_dc_ord.0209.partial","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","16","中文键","2026-09-13"
"hd_dc_ord.0209.ransomed","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","13","中文键","2026-09-13"
"hd_dc_ord.0209.rejected","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","15","中文键","2026-09-13"
"hd_dc_ord.0209.t","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","12","中文键","2026-09-13"
"hd_dc_ord.0209.unpaid","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","17","中文键","2026-09-13"
"hd_dc_ord.0213","events/hd_dc_ordinary_events.txt","225","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0213.a","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","44","中文键","2026-09-13"
"hd_dc_ord.0213.declined","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","43","中文键","2026-09-13"
"hd_dc_ord.0213.helped","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","42","中文键","2026-09-13"
"hd_dc_ord.0213.t","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","41","中文键","2026-09-13"
"hd_dc_ord.0219","events/hd_dc_ordinary_events.txt","120","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0219.a","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_ord.0219.b","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","11","中文键","2026-09-13"
"hd_dc_ord.0219.desc","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","9","中文键","2026-09-13"
"hd_dc_ord.0219.t","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_ord.0313","events/hd_dc_ordinary_events.txt","5","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0319","events/hd_dc_ordinary_events.txt","142","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord.0319.a","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","19","中文键","2026-09-13"
"hd_dc_ord.0319.completed","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","13","中文键","2026-09-13"
"hd_dc_ord.0319.expired","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","17","中文键","2026-09-13"
"hd_dc_ord.0319.invalidated","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","18","中文键","2026-09-13"
"hd_dc_ord.0319.rejected","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","14","中文键","2026-09-13"
"hd_dc_ord.0319.unpaid","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","15","中文键","2026-09-13"
"hd_dc_ord.0319.withdrawn","localization/simp_chinese/hd_dc_correspondence_l_simp_chinese.yml","16","中文键","2026-09-13"
"hd_dc_ord.invalidated","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","35","中文键","2026-09-13"
"hd_dc_ord09_a_terms","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_ord09_c_terms","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","11","中文键","2026-09-13"
"hd_dc_ord09_can_exchange_trigger","common/scripted_triggers/hd_dc_ransom_triggers.txt","81","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord09_captor_trigger","common/scripted_triggers/hd_dc_ransom_triggers.txt","14","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord09_case_valid_trigger","common/scripted_triggers/hd_dc_ransom_triggers.txt","41","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord09_eligible_trigger","common/scripted_triggers/hd_dc_ransom_triggers.txt","29","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord09_exchange_prisoner_trigger","common/scripted_triggers/hd_dc_ransom_triggers.txt","74","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord09_offer_effect","common/scripted_effects/hd_dc_ransom_effects.txt","28","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord09_prisoner_trigger","common/scripted_triggers/hd_dc_ransom_triggers.txt","22","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord09_refuse_effect","common/scripted_effects/hd_dc_ransom_effects.txt","58","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord09_releasable_trigger","common/scripted_triggers/hd_dc_ransom_triggers.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord09_window_valid_trigger","common/scripted_triggers/hd_dc_ransom_triggers.txt","62","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_answer_help_effect","common/scripted_effects/hd_dc_ordinary_effects.txt","176","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_ask_help_effect","common/scripted_effects/hd_dc_ordinary_effects.txt","120","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_confidant_trigger","common/scripted_triggers/hd_dc_ordinary_triggers.txt","53","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_delegate_effect","common/scripted_effects/hd_dc_ordinary_effects.txt","58","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_delegation_valid_trigger","common/scripted_triggers/hd_dc_ordinary_triggers.txt","40","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_eligible_trigger","common/scripted_triggers/hd_dc_ordinary_triggers.txt","9","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_has_confidant_trigger","common/scripted_triggers/hd_dc_ordinary_triggers.txt","66","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_help_response_valid_trigger","common/scripted_triggers/hd_dc_ordinary_triggers.txt","73","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_native_stress_followup_trigger","common/scripted_triggers/hd_dc_ordinary_triggers.txt","94","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_personality_stress_effect","common/scripted_effects/hd_dc_ordinary_effects.txt","148","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_petitioner_trigger","common/scripted_triggers/hd_dc_ordinary_triggers.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_rebuke_effect","common/scripted_effects/hd_dc_ordinary_effects.txt","93","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord13_window_valid_trigger","common/scripted_triggers/hd_dc_ordinary_triggers.txt","19","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_accept_cooperation_effect","common/scripted_effects/hd_dc_enemy_child_effects.txt","49","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_blame_family_effect","common/scripted_effects/hd_dc_enemy_child_effects.txt","182","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_can_offer_cooperation_trigger","common/scripted_triggers/hd_dc_enemy_child_triggers.txt","72","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_cooperation_context_trigger","common/scripted_triggers/hd_dc_enemy_child_triggers.txt","79","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_cooperation_invitation_trigger","common/scripted_triggers/hd_dc_enemy_child_triggers.txt","115","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_cooperation_letter_trigger","common/scripted_triggers/hd_dc_enemy_child_triggers.txt","124","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_cooperation_response_trigger","common/scripted_triggers/hd_dc_enemy_child_triggers.txt","105","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_decline_cooperation_effect","common/scripted_effects/hd_dc_enemy_child_effects.txt","91","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_eligible_trigger","common/scripted_triggers/hd_dc_enemy_child_triggers.txt","21","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_finish_cooperation_effect","common/scripted_effects/hd_dc_enemy_child_effects.txt","142","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_guarantor_trigger","common/scripted_triggers/hd_dc_enemy_child_triggers.txt","60","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_judge_person_effect","common/scripted_effects/hd_dc_enemy_child_effects.txt","168","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_offer_cooperation_effect","common/scripted_effects/hd_dc_enemy_child_effects.txt","31","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_submit_letter_effect","common/scripted_effects/hd_dc_enemy_child_effects.txt","102","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_visitor_trigger","common/scripted_triggers/hd_dc_enemy_child_triggers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_window_valid_trigger","common/scripted_triggers/hd_dc_enemy_child_triggers.txt","29","文本匹配的顶层定义","2026-09-13"
"hd_dc_ord19_withdraw_letter_effect","common/scripted_effects/hd_dc_enemy_child_effects.txt","130","文本匹配的顶层定义","2026-09-13"
"hd_dc_ordinary_response_opinion","common/opinion_modifiers/hd_dc_opinions.txt","10","文本匹配的顶层定义","2026-09-13"
"hd_dc_ordinary_response_opinion","localization/simp_chinese/hd_dc_ordinary_l_simp_chinese.yml","45","中文键","2026-09-13"
"hd_dc_ordinary_yearly","common/on_action/hd_dc_observer_on_actions.txt","11","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_group_qualified_trigger","common/scripted_triggers/hd_dc_party_triggers.txt","28","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_group_snapshot_current_trigger","common/scripted_triggers/hd_dc_party_triggers.txt","79","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_hostile_pair_trigger","common/scripted_triggers/hd_dc_party_triggers.txt","113","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_named_pair_trigger","common/scripted_triggers/hd_dc_party_triggers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_native_movement_trigger","common/scripted_triggers/hd_dc_party_triggers.txt","13","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_office_member_trigger","common/scripted_triggers/hd_dc_party_triggers.txt","22","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_power_fivefold_value","common/script_values/hd_dc_party_values.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_snapshot_group_count_value","common/script_values/hd_dc_party_values.txt","7","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_snapshot_valid_trigger","common/scripted_triggers/hd_dc_party_triggers.txt","50","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_tax_relief_modifier","common/modifiers/hd_dc_policy_modifiers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_par_tax_relief_modifier","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","2","中文键","2026-09-13"
"hd_dc_par_tax_relief_modifier_desc","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","28","中文键","2026-09-13"
"hd_dc_par.0001","events/hd_dc_party_node_events.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_par.0001.a","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","4","中文键","2026-09-13"
"hd_dc_par.0001.a.tt","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","5","中文键","2026-09-13"
"hd_dc_par.0001.b","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","6","中文键","2026-09-13"
"hd_dc_par.0001.b.tt","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_par.0001.c","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_par.0001.c.tt","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","9","中文键","2026-09-13"
"hd_dc_par.0001.d","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_par.0001.d.tt","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","11","中文键","2026-09-13"
"hd_dc_par.0001.desc","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","3","中文键","2026-09-13"
"hd_dc_par.0001.t","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","2","中文键","2026-09-13"
"hd_dc_par.1001","events/hd_dc_party_events.txt","70","文本匹配的顶层定义","2026-09-13"
"hd_dc_par.1001.a","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","20","中文键","2026-09-13"
"hd_dc_par.1001.a.tt","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","21","中文键","2026-09-13"
"hd_dc_par.1001.b","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","22","中文键","2026-09-13"
"hd_dc_par.1001.b.tt","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","23","中文键","2026-09-13"
"hd_dc_par.1001.c","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","24","中文键","2026-09-13"
"hd_dc_par.1001.c.tt","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","25","中文键","2026-09-13"
"hd_dc_par.1001.desc","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","19","中文键","2026-09-13"
"hd_dc_par.1001.t","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","18","中文键","2026-09-13"
"hd_dc_par.1101","events/hd_dc_party_events.txt","26","文本匹配的顶层定义","2026-09-13"
"hd_dc_par.1101.a","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","9","中文键","2026-09-13"
"hd_dc_par.1101.a.tt","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_par.1101.desc","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_par.1101.t","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_par.1201","events/hd_dc_party_events.txt","38","文本匹配的顶层定义","2026-09-13"
"hd_dc_par.1201.a","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","15","中文键","2026-09-13"
"hd_dc_par.1201.authority_lost","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","13","中文键","2026-09-13"
"hd_dc_par.1201.fulfilled","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","12","中文键","2026-09-13"
"hd_dc_par.1201.interrupted","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","14","中文键","2026-09-13"
"hd_dc_par.1201.no_q.tt","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","17","中文键","2026-09-13"
"hd_dc_par.1201.q.tt","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","16","中文键","2026-09-13"
"hd_dc_par.1201.t","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","11","中文键","2026-09-13"
"hd_dc_par.1202","events/hd_dc_party_events.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_par.1202.a","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","35","中文键","2026-09-13"
"hd_dc_par.1202.a.tt","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","36","中文键","2026-09-13"
"hd_dc_par.1202.expired","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","32","中文键","2026-09-13"
"hd_dc_par.1202.funding_failed","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","33","中文键","2026-09-13"
"hd_dc_par.1202.invalidated","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","34","中文键","2026-09-13"
"hd_dc_par.1202.rejected","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","31","中文键","2026-09-13"
"hd_dc_par.1202.t","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","30","中文键","2026-09-13"
"hd_dc_par.1301","events/hd_dc_party_node_events.txt","46","文本匹配的顶层定义","2026-09-13"
"hd_dc_par.1301.a","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","17","中文键","2026-09-13"
"hd_dc_par.1301.audit","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","14","中文键","2026-09-13"
"hd_dc_par.1301.b","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","18","中文键","2026-09-13"
"hd_dc_par.1301.relief","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","15","中文键","2026-09-13"
"hd_dc_par.1301.reserve","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","16","中文键","2026-09-13"
"hd_dc_par.1301.t","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","13","中文键","2026-09-13"
"hd_dc_par.1302","events/hd_dc_party_node_events.txt","63","文本匹配的顶层定义","2026-09-13"
"hd_dc_par.1302.a","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","22","中文键","2026-09-13"
"hd_dc_par.1302.b","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","23","中文键","2026-09-13"
"hd_dc_par.1302.first","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","20","中文键","2026-09-13"
"hd_dc_par.1302.second","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","21","中文键","2026-09-13"
"hd_dc_par.1302.t","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","19","中文键","2026-09-13"
"hd_dc_par.1303","events/hd_dc_party_node_events.txt","77","文本匹配的顶层定义","2026-09-13"
"hd_dc_par.1303.a","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","28","中文键","2026-09-13"
"hd_dc_par.1303.failed","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","27","中文键","2026-09-13"
"hd_dc_par.1303.partial","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","26","中文键","2026-09-13"
"hd_dc_par.1303.t","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","24","中文键","2026-09-13"
"hd_dc_par.1303.verified","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","25","中文键","2026-09-13"
"hd_dc_par.invalid","localization/simp_chinese/hd_dc_policy_audit_l_simp_chinese.yml","12","中文键","2026-09-13"
"hd_dc_par.window_closed","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","26","中文键","2026-09-13"
"hd_dc_par01_answer_executor_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","49","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_assert_existing_policy_effect","common/scripted_effects/hd_dc_party_event_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_audit_available_trigger","common/scripted_triggers/hd_dc_policy_audit_triggers.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_audit_context_trigger","common/scripted_triggers/hd_dc_policy_audit_triggers.txt","33","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_auditor_window_trigger","common/scripted_triggers/hd_dc_policy_audit_triggers.txt","55","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_check_trial_side_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","197","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_comparison_available_trigger","common/scripted_triggers/hd_dc_policy_audit_triggers.txt","22","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_comparison_county_trigger","common/scripted_triggers/hd_dc_policy_audit_triggers.txt","13","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_end_trial_side_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","231","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_executor_window_trigger","common/scripted_triggers/hd_dc_policy_audit_triggers.txt","41","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_fund_audit_side_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","70","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_local_agreement_trigger","common/scripted_triggers/hd_dc_policy_triggers.txt","12","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_local_relief_terms","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","27","中文键","2026-09-13"
"hd_dc_par01_offer_audit_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_offer_context_trigger","common/scripted_triggers/hd_dc_policy_offer_triggers.txt","20","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_parties_valid_trigger","common/scripted_triggers/hd_dc_party_event_triggers.txt","1","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_political_consent_trigger","common/scripted_triggers/hd_dc_policy_triggers.txt","53","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_relief_leadership_terms","localization/simp_chinese/hd_dc_policy_l_simp_chinese.yml","29","中文键","2026-09-13"
"hd_dc_par01_relief_offer_valid_trigger","common/scripted_triggers/hd_dc_policy_offer_triggers.txt","1","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_request_reports_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","250","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_send_executor_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","41","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_submit_audit_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","260","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_trial_ready_trigger","common/scripted_triggers/hd_dc_policy_triggers.txt","79","文本匹配的顶层定义","2026-09-13"
"hd_dc_par01_window_valid_trigger","common/scripted_triggers/hd_dc_party_event_triggers.txt","35","文本匹配的顶层定义","2026-09-13"
"hd_dc_party_case_county_trigger","common/scripted_triggers/hd_dc_party_case_triggers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_party_case_current_trigger","common/scripted_triggers/hd_dc_party_case_triggers.txt","17","文本匹配的顶层定义","2026-09-13"
"hd_dc_party_case_window_valid_trigger","common/scripted_triggers/hd_dc_party_case_triggers.txt","48","文本匹配的顶层定义","2026-09-13"
"hd_dc_pause_royal_support_effect","common/scripted_effects/hd_dc_royal_pause_effects.txt","1","文本匹配的顶层定义","2026-09-13"
"hd_dc_pay_royal_support_reward_effect","common/scripted_effects/hd_dc_royal_offer_effects.txt","81","文本匹配的顶层定义","2026-09-13"
"hd_dc_payment_authorized_trigger","common/scripted_triggers/hd_dc_payment_triggers.txt","5","文本匹配的顶层定义","2026-09-13"
